A,B,C,D,E
4.4,30.8,1.26,15.0,4.66
6.7,34.2,1.2,10.9,1.24
0.6,22.9,1.22,15.4,3.46
4.8,34.4,1.08,13.5,3.98
0.8,30.9,1.08,15.0,1.12
3.5,1.9,1.38,17.3,1.46
8.2,36.8,2.06,11.6,4.76
0.0,4.8,2.08,18.8,3.64
0.9,13.4,2.14,16.0,1.98
3.5,2.8,2.56,19.0,4.78
7.2,4.7,2.78,19.6,4.64
4.5,26.8,2.92,17.4,1.5
3.1,0.2,1.58,11.2,3.74
3.1,25.7,1.46,16.4,1.2
0.5,1.5,2.72,19.4,1.78
4.7,9.3,2.44,19.6,3.02
3.7,35.7,1.04,18.4,1.2
1.6,13.3,2.98,17.9,3.22
7.3,30.0,1.94,18.6,2.86
2.6,32.6,2.4,17.3,1.06
5.3,13.2,1.42,14.7,1.02
4.9,31.1,1.26,19.6,4.32
3.4,38.2,1.94,18.5,4.0
8.4,3.1,1.56,16.9,1.88
2.4,30.4,1.98,14.6,2.46
2.7,26.8,2.58,19.9,4.38
1.4,2.4,2.94,10.9,3.04
0.3,31.5,1.18,15.6,1.82
9.2,5.8,2.4,17.9,1.56
7.2,21.2,2.76,11.2,3.86
2.6,15.5,1.52,16.0,4.88
2.5,31.3,2.56,15.7,2.98
1.8,27.5,2.9,18.3,4.74
9.1,38.8,1.54,16.7,3.62
1.6,20.9,1.16,18.3,2.98
4.2,5.6,2.4,18.5,1.3
4.0,18.4,2.58,12.8,4.36
4.1,5.3,1.5,11.5,1.1
4.9,20.8,2.96,16.2,1.82
8.3,36.7,2.6,14.6,3.54
3.9,34.1,2.72,14.2,4.68
3.8,29.2,1.14,12.2,4.1
2.2,33.9,1.02,12.9,2.98
9.5,30.3,2.88,15.6,4.0
5.1,25.1,2.12,12.9,2.5
4.6,37.3,2.02,16.6,1.82
6.2,30.3,2.14,15.5,2.88
9.6,11.1,2.9,12.3,1.22
6.8,36.5,2.84,20.0,3.46
4.2,0.5,1.04,17.6,2.26
4.7,19.0,1.14,19.5,4.7
3.3,33.3,2.16,20.0,4.56
3.9,27.8,1.02,17.5,1.56
7.4,38.1,2.88,10.7,1.36
6.0,33.9,2.22,18.7,2.92
4.9,1.2,1.96,14.3,1.88
6.6,30.2,3.0,17.9,2.06
6.1,4.3,1.38,19.5,3.18
5.7,10.4,1.56,13.3,2.58
3.2,15.9,1.32,13.4,4.86
7.4,15.3,2.46,19.5,4.98
1.5,24.1,1.42,14.9,1.24
8.1,18.0,1.1,11.6,4.84
9.3,1.3,2.22,10.1,3.78
4.7,17.9,2.94,18.9,3.24
0.9,37.6,1.6,15.3,2.4
8.1,29.1,2.22,14.3,1.26
3.7,26.3,1.22,18.0,1.82
1.8,16.7,1.22,20.1,2.96
3.5,21.3,2.24,14.8,2.5
5.8,14.9,1.3,10.1,3.06
6.2,1.5,1.48,17.1,4.5
7.6,9.0,1.42,16.9,3.4
4.5,11.9,2.8,10.8,4.02
0.2,25.2,2.74,10.0,2.28
7.3,5.9,2.5,16.8,3.88
6.4,26.5,1.34,10.8,1.74
9.0,3.0,1.88,11.3,1.54
0.7,2.0,2.58,12.6,1.64
5.0,21.8,2.34,10.8,4.02
8.0,8.0,1.22,13.5,3.2
7.2,28.8,1.96,19.2,3.5
0.5,3.0,1.64,18.3,3.54
8.8,23.3,2.7,17.8,2.38
3.8,3.5,2.24,19.9,2.68
5.9,13.1,1.34,10.2,3.62
2.7,32.3,2.06,12.2,4.2
9.6,34.5,2.92,17.2,3.36
5.3,13.1,1.52,12.9,1.18
3.6,0.8,2.64,11.8,1.7
0.8,2.9,2.54,20.1,2.44
8.1,11.4,1.48,16.6,4.16
5.5,30.0,1.66,14.9,3.62
5.8,0.3,2.74,14.7,3.42
8.4,32.4,2.18,10.2,3.7
0.1,23.6,2.06,19.7,1.52
6.0,2.2,2.72,16.5,4.26
5.7,1.5,1.08,12.6,3.72
5.9,2.1,1.7,18.6,4.4
3.9,7.1,2.06,19.5,4.02
3.5,30.3,2.74,19.8,4.28
3.6,22.9,1.7,13.9,1.8
7.8,10.6,2.36,11.7,3.06
9.1,20.7,1.76,12.6,1.5
1.7,38.8,2.38,11.0,3.62
9.7,20.7,2.98,13.8,3.3
6.2,26.2,1.06,11.8,3.56
2.1,5.0,2.46,18.8,3.94
1.0,6.4,2.28,10.6,4.44
5.7,26.4,2.68,19.4,2.82
5.6,33.7,1.78,15.6,4.92
7.6,30.0,1.72,10.1,2.9
0.3,37.7,2.32,13.7,2.02
8.5,17.4,1.6,10.4,2.86
0.6,15.1,2.8,17.7,2.26
6.0,26.5,2.6,18.1,1.4
5.3,32.8,2.72,13.5,3.1
8.7,30.3,2.52,16.7,2.58
6.7,16.2,1.92,18.7,4.98
9.1,34.2,1.52,17.6,2.5
7.8,36.6,2.0,18.4,2.9
0.0,23.7,1.38,15.6,1.48
5.4,19.8,1.24,19.6,4.88
0.2,1.5,2.24,11.9,1.5
7.7,30.8,1.86,10.4,2.98
3.7,29.5,1.46,12.3,2.6
0.0,35.5,1.04,19.8,1.52
3.7,27.5,1.18,12.9,4.58
8.4,23.8,2.28,12.7,2.24
2.8,6.8,1.96,15.2,2.7
0.4,30.0,2.14,15.0,3.34
7.3,0.5,2.52,10.6,4.44
9.1,21.9,2.54,14.1,4.7
2.0,25.3,2.92,13.4,1.74
7.0,29.4,1.02,19.3,4.24
6.6,35.7,2.3,13.3,1.9
4.6,38.5,1.6,17.2,3.52
8.3,10.6,2.34,17.5,2.4
8.2,29.4,2.94,15.3,3.6
3.4,11.7,2.64,12.8,3.66
6.7,16.7,1.72,10.9,1.24
6.8,25.0,2.44,12.6,4.46
0.0,8.1,1.46,18.2,2.78
6.7,5.3,2.52,11.2,3.22
1.1,23.9,1.86,14.1,1.64
5.9,36.5,2.86,13.6,2.22
2.6,1.1,2.64,16.0,2.24
5.5,20.8,1.8,19.5,2.1
2.2,16.4,2.46,17.8,1.76
2.4,36.5,2.0,12.0,2.18
2.0,29.3,1.82,10.2,3.08
6.0,39.8,2.54,10.7,3.52
6.2,0.6,1.78,16.9,2.64
5.1,7.7,1.94,19.2,4.02
8.7,6.4,2.66,18.2,4.54
2.4,10.1,1.06,11.6,3.08
5.4,35.6,2.18,10.9,4.2
4.5,29.9,1.76,19.6,2.46
3.1,28.6,1.08,11.2,3.68
5.4,17.0,2.9,19.0,4.46
9.5,7.6,1.1,11.1,3.42
0.4,4.7,1.26,16.5,2.22
3.5,25.4,2.38,17.3,1.0
4.8,8.1,2.54,18.4,2.56
5.7,38.2,1.22,12.2,3.34
3.8,20.8,2.22,16.4,2.28
7.9,20.8,1.52,19.6,4.44
9.6,8.3,2.06,15.1,4.64
8.4,0.9,2.78,16.0,2.3
6.0,2.8,1.22,12.5,2.32
0.8,30.3,1.14,11.4,2.98
0.5,11.5,2.46,12.1,2.06
3.4,26.8,1.3,18.8,3.4
3.8,4.6,2.02,16.4,2.98
2.1,35.8,1.5,12.5,4.8
4.0,9.0,1.14,12.0,4.62
0.4,5.2,1.88,12.3,3.04
4.1,21.7,2.84,11.5,4.58
8.6,34.7,2.66,13.1,4.62
8.0,7.6,2.6,11.5,4.88
7.5,20.3,1.36,17.6,4.28
8.6,4.3,1.32,14.1,3.14
7.9,15.5,2.28,13.1,1.22
6.6,0.1,1.56,14.9,4.72
2.9,35.6,1.26,14.0,3.94
5.6,31.2,1.32,12.3,2.72
8.5,5.6,1.24,11.2,2.7
7.2,28.9,2.84,17.4,1.62
2.8,5.7,2.94,17.8,2.4
3.6,25.3,2.8,10.9,1.86
8.6,17.9,2.24,14.1,2.3
1.2,15.6,1.64,14.0,2.54
3.1,3.4,1.56,10.2,2.08
4.5,7.4,1.72,15.4,1.3
2.2,28.8,2.64,11.5,2.74
4.4,37.0,1.9,14.3,2.4
1.6,7.4,1.46,18.0,2.34
8.4,32.8,1.26,18.8,4.58
6.5,7.7,3.0,12.9,3.46
10.0,25.4,1.08,19.8,4.28
0.5,26.4,2.04,13.6,4.46
1.7,30.3,2.74,15.9,4.36
9.3,6.6,2.94,17.6,3.64
2.1,22.0,2.88,12.3,4.86
3.2,16.3,1.58,20.1,1.08
2.9,37.4,2.18,12.5,4.8
8.0,21.9,2.44,15.7,3.48
3.1,17.1,2.8,10.8,3.6
4.1,25.3,1.54,16.0,3.7
7.7,20.9,1.5,11.8,4.06
0.9,18.7,1.34,12.7,2.46
3.5,19.0,1.7,10.6,3.48
3.3,38.8,1.14,14.4,2.94
7.2,21.4,1.34,18.5,3.44
2.7,37.4,2.66,19.3,2.98
1.0,8.5,2.14,16.2,2.04
7.7,10.5,1.62,13.6,2.5
3.8,33.1,2.84,11.5,3.54
4.6,29.5,1.96,19.9,4.12
1.8,1.8,1.94,10.4,1.26
1.4,4.6,2.62,12.8,1.08
2.7,6.4,2.4,15.1,3.22
2.3,14.5,2.28,12.2,1.52
7.1,28.5,2.82,10.5,3.48
0.8,38.1,1.64,13.5,4.9
4.6,6.5,1.98,15.6,1.56
3.2,0.4,1.06,13.2,1.04
6.1,9.2,2.66,14.8,4.14
9.6,35.2,1.7,14.0,3.72
1.8,9.3,2.88,17.9,1.0
6.6,10.5,1.54,15.4,1.44
7.3,13.2,1.04,19.7,2.32
3.9,34.0,1.1,12.5,4.18
4.6,31.3,1.88,13.6,1.1
6.4,7.8,1.44,17.6,1.96
2.8,21.1,1.12,11.6,3.84
4.9,0.7,2.2,19.5,4.7
9.7,15.8,2.98,13.1,4.6
1.2,26.7,2.28,12.7,1.58
0.0,14.8,1.1,19.2,1.78
3.3,34.9,1.46,12.4,4.72
9.2,9.0,1.72,14.6,2.24
4.7,23.5,1.88,12.1,1.94
7.6,28.8,2.0,19.0,3.46
4.7,35.5,2.98,16.0,2.34
4.8,16.7,2.74,14.3,3.68
6.3,19.2,1.88,20.1,4.48
6.0,18.6,2.24,11.9,1.84
2.8,27.0,1.56,14.9,3.86
3.8,11.3,3.0,18.7,1.42
8.7,38.4,2.9,14.6,2.24
2.5,1.0,1.48,14.6,4.46
1.6,5.4,1.18,17.1,4.44
7.0,25.7,1.68,15.0,1.8
1.2,6.4,2.08,15.4,4.04
6.8,17.1,1.48,17.7,1.98
2.5,27.1,2.8,13.8,2.32
4.8,14.9,1.88,11.3,4.58
6.6,36.1,2.9,16.8,2.7
0.6,14.5,1.22,14.6,4.16
5.7,20.8,1.06,12.0,1.72
4.8,28.5,2.78,11.4,3.98
5.2,0.9,2.32,19.9,1.52
6.4,22.6,1.32,19.6,3.38
6.1,18.5,2.44,18.0,3.58
1.6,6.1,2.84,18.3,1.42
4.2,8.4,2.28,10.0,4.6
2.4,13.3,2.62,17.9,1.32
0.2,32.2,2.04,18.1,3.22
7.8,29.6,2.66,10.9,3.48
2.8,17.0,2.12,12.2,2.1
3.1,21.2,2.94,11.7,4.16
2.5,1.7,1.54,15.7,1.84
1.5,31.3,2.96,17.2,4.98
2.4,5.9,1.3,19.3,3.4
5.3,8.7,1.4,17.6,4.6
2.7,2.6,2.52,15.1,3.64
7.2,6.7,2.96,19.4,3.58
5.5,27.7,1.82,14.5,3.4
6.4,3.9,2.06,11.2,4.72
9.2,10.8,1.62,19.5,3.62
8.5,7.3,1.74,11.6,4.22
7.9,6.5,2.38,16.6,4.88
4.0,16.7,1.74,16.0,3.22
5.0,26.1,2.06,16.4,5.0
7.0,36.7,2.18,15.2,3.66
7.7,27.3,2.52,10.4,4.7
2.8,33.6,2.52,13.1,4.48
8.2,35.7,1.92,18.8,1.08
1.8,23.6,1.22,14.4,2.2
6.5,21.4,2.04,15.5,2.1
4.0,36.5,1.64,10.4,3.02
4.4,28.5,1.54,20.0,4.24
1.4,37.7,1.04,18.6,3.36
0.2,14.8,2.62,17.5,1.24
1.0,31.7,1.5,13.3,1.5
5.2,39.3,2.06,16.0,2.26
4.5,37.5,1.78,18.6,3.76
2.9,10.6,2.3,17.9,2.22
5.6,14.0,2.34,16.1,4.48
1.7,7.5,2.82,16.8,3.46
5.0,0.8,2.82,16.2,2.38
4.7,19.5,2.76,14.3,2.48
6.5,29.4,2.78,12.7,4.7
9.5,27.9,1.92,16.9,1.18
0.7,38.0,1.02,11.2,3.86
2.1,11.7,1.82,14.2,1.22
0.5,28.9,1.66,12.9,4.96
7.5,6.0,2.86,12.5,2.74
5.6,38.8,1.4,18.0,1.98
3.5,33.4,3.0,16.2,3.84
7.8,30.5,1.86,17.2,2.16
9.1,38.7,2.72,15.6,4.94
5.6,5.0,2.92,16.3,2.22
4.8,5.1,1.02,17.9,2.42
4.4,12.1,2.8,14.8,4.78
8.1,16.6,2.16,15.1,1.98
6.5,0.7,2.7,16.2,2.06
7.6,36.8,2.94,18.1,2.06
4.4,4.4,1.3,11.2,4.1
7.8,34.3,1.38,19.2,3.06
1.9,24.4,1.5,18.7,2.0
6.3,28.3,1.3,14.4,2.46
9.2,37.4,2.38,14.5,4.2
9.2,10.6,1.44,17.6,3.56
6.6,2.6,1.82,18.8,2.68
8.2,19.2,1.72,14.0,2.36
0.2,33.6,2.42,14.5,3.56
5.3,35.6,1.1,10.0,3.32
7.7,6.1,1.72,17.2,2.08
6.3,6.1,1.42,16.7,2.68
3.9,28.1,1.1,19.1,2.76
5.8,12.0,1.62,11.1,4.44
5.4,27.9,1.32,18.7,2.44
6.1,3.8,1.74,17.2,2.58
0.3,37.9,1.32,13.4,4.34
5.9,27.6,1.72,20.1,3.18
7.4,9.3,1.44,19.8,2.2
9.4,11.4,1.96,13.2,4.26
9.5,17.5,2.2,15.7,3.04
9.0,12.0,1.96,13.4,3.24
2.9,1.2,2.2,14.5,4.02
0.1,38.6,2.52,18.3,2.58
6.1,16.2,1.62,16.5,3.82
4.8,27.4,2.7,14.3,3.22
0.8,39.7,2.24,12.5,2.94
9.1,17.5,1.12,14.1,2.74
3.0,33.6,1.42,17.6,2.98
9.7,37.8,2.68,12.9,3.38
6.0,32.3,1.1,13.1,3.56
7.8,17.2,2.2,13.5,1.92
4.7,27.4,1.26,11.8,3.96
2.4,6.3,1.3,12.1,5.0
3.5,10.0,1.04,16.4,1.76
0.7,32.1,1.16,15.6,1.04
7.2,6.5,1.92,11.0,3.86
5.7,33.0,2.68,12.5,2.34
10.0,4.4,2.86,14.7,4.06
4.4,8.6,2.86,11.8,4.62
6.1,6.6,1.82,18.2,1.24
3.8,25.8,1.82,11.1,4.76
9.5,20.4,2.9,16.6,1.38
5.7,17.7,1.44,15.5,2.64
8.0,27.9,1.04,11.7,1.52
9.8,34.3,1.0,10.4,3.58
10.0,1.6,2.32,12.3,1.18
8.2,29.5,3.0,17.7,4.74
6.3,20.1,2.4,13.7,2.76
4.3,17.1,1.04,16.6,1.36
2.8,26.1,2.98,16.9,3.84
5.8,19.3,1.96,17.5,3.04
7.0,14.8,2.32,15.1,1.92
9.1,37.4,2.08,17.4,4.02
0.8,37.5,1.06,13.8,1.3
9.1,3.4,1.6,15.8,2.6
0.5,36.8,2.3,12.5,4.74
2.8,2.8,2.54,16.4,4.52
5.7,26.2,3.0,17.9,3.62
1.6,22.0,2.26,14.7,4.86
1.5,5.2,1.6,15.2,4.52
8.6,27.8,2.24,10.8,3.24
9.4,35.2,2.3,10.4,4.16
0.2,39.1,1.6,17.1,2.3
2.0,7.5,1.92,16.0,2.06
6.3,17.5,1.42,12.0,1.02
8.9,0.9,2.46,19.6,2.2
3.5,11.6,2.86,16.2,1.28
10.0,27.9,2.92,11.9,2.18
8.5,21.7,2.64,15.7,3.22
6.1,17.4,1.9,14.4,1.84
4.1,23.3,2.76,12.1,2.84
7.5,25.1,2.14,17.6,4.34
4.1,29.4,2.2,17.4,1.58
6.0,32.1,1.9,18.1,2.24
1.2,0.5,1.0,16.2,1.46
1.0,2.0,2.9,12.9,4.42
5.3,7.2,1.48,16.2,1.26
1.5,32.9,2.2,19.6,1.54
0.7,3.5,2.6,14.3,3.82
5.8,38.6,1.26,16.6,4.66
5.6,23.2,1.88,15.7,3.14
3.9,21.5,2.52,16.4,1.66
5.8,20.5,1.76,13.5,2.54
0.1,4.3,2.3,10.5,1.22
9.3,9.0,1.62,13.6,4.66
9.3,31.5,2.9,19.2,2.2
7.5,9.2,2.14,17.4,3.08
0.9,33.8,2.1,15.4,4.76
4.3,8.2,1.1,17.6,1.78
1.0,33.2,2.76,17.4,3.94
7.8,28.1,2.32,15.8,4.38
7.9,2.0,2.62,13.7,1.12
8.0,22.7,1.98,12.4,2.56
8.9,37.5,1.74,17.8,3.4
0.1,12.9,1.04,17.6,2.44
4.9,17.4,1.08,13.2,2.34
1.1,10.7,1.46,11.2,1.6
8.9,28.2,2.06,13.7,2.38
2.2,7.0,1.66,15.7,1.92
1.7,4.9,1.76,18.7,4.56
6.1,9.4,2.74,11.9,2.14
9.5,27.8,2.98,11.6,3.98
6.1,39.6,2.82,12.3,1.46
3.7,33.6,1.94,12.5,1.66
6.6,13.1,1.96,13.9,2.24
3.7,39.7,1.66,13.1,4.74
6.6,27.5,2.58,19.2,3.92
9.3,37.9,2.98,17.7,1.46
6.0,1.2,1.12,13.6,2.26
0.0,0.2,1.34,18.5,3.94
9.3,22.3,2.38,19.7,3.3
4.4,17.4,2.82,19.0,2.94
9.5,38.6,1.66,19.1,1.52
2.7,38.4,2.0,18.5,4.7
2.0,8.9,2.84,15.9,1.86
1.2,24.0,2.34,15.6,2.84
2.6,3.4,1.26,15.7,2.28
9.9,1.3,2.36,16.6,3.36
0.6,19.4,2.76,12.1,4.46
2.1,39.6,1.14,15.7,2.06
7.3,30.5,1.28,18.4,3.38
5.2,33.3,2.64,17.9,4.32
7.8,21.2,2.16,17.2,1.12
7.8,0.2,1.2,17.6,2.06
0.3,17.8,1.38,17.3,1.84
9.5,3.9,2.08,14.8,1.38
2.2,16.3,1.7,18.4,2.66
6.9,30.6,2.62,14.8,4.04
8.7,23.4,1.26,14.1,1.84
8.3,25.6,2.14,13.9,5.0
10.0,35.9,1.74,17.0,3.52
8.3,39.0,2.76,14.5,4.08
7.5,37.2,2.58,12.1,4.04
3.2,11.5,2.62,18.1,1.7
2.7,5.1,1.0,12.0,2.3
0.7,37.5,2.28,15.0,3.4
0.0,39.4,1.0,11.3,1.16
3.6,14.1,2.68,17.3,2.64
6.2,8.5,2.18,19.6,2.56
2.1,4.5,1.48,10.8,4.6
6.9,33.1,2.8,11.7,1.4
2.0,23.7,1.18,11.2,4.54
9.5,0.9,1.98,11.6,1.3
3.4,15.1,1.22,18.6,4.86
7.8,6.0,2.82,12.4,1.5
0.4,1.7,1.62,15.3,4.42
5.9,8.5,1.64,11.5,1.56
4.5,13.6,2.42,12.3,2.94
4.9,40.0,1.5,19.4,4.46
4.7,22.9,1.82,17.4,2.4
0.5,12.7,1.98,12.2,4.52
8.8,10.3,2.2,14.0,3.84
5.5,18.5,1.8,18.5,1.32
5.8,39.6,2.12,13.2,3.72
2.8,17.7,1.02,14.1,1.62
7.0,35.6,2.96,14.7,2.3
7.6,0.5,2.94,11.7,2.16
1.7,34.0,2.38,16.2,4.18
0.1,30.6,1.6,17.7,3.2
0.7,3.5,1.44,19.1,4.4
7.4,32.6,2.5,11.0,2.64
9.6,35.5,2.06,12.3,3.18
5.3,28.0,1.54,16.0,2.16
3.7,39.4,2.56,16.3,1.58
4.7,29.9,1.36,13.5,1.2
2.6,1.3,2.5,18.2,3.36
1.9,23.6,1.94,17.6,4.06
1.1,28.4,1.02,19.6,2.86
4.2,32.9,1.2,15.2,1.02
6.0,4.9,1.86,18.2,4.22
3.0,26.0,3.0,14.6,4.36
9.0,10.9,2.16,15.1,1.6
9.5,19.6,2.16,19.5,2.24
6.0,37.7,1.74,17.8,4.64
7.3,25.1,1.48,15.6,3.32
6.6,8.7,1.4,17.4,4.76
9.0,31.2,1.82,12.2,3.52
3.4,2.5,1.7,15.8,1.7
9.4,26.1,1.16,16.8,1.78
1.4,14.3,1.22,15.5,1.44
1.5,5.9,1.18,18.5,4.06
1.2,35.5,2.16,14.1,1.34
3.4,26.7,1.08,11.7,2.56
7.4,7.4,1.64,17.0,1.66
5.8,0.2,2.36,13.2,4.1
2.0,6.2,2.58,10.2,3.12
5.3,23.5,2.24,12.7,1.96
7.4,22.8,3.0,10.0,4.82
2.9,38.9,3.0,16.2,4.96
4.7,27.4,1.56,14.6,4.8
3.4,1.7,1.34,13.6,2.22
8.5,7.9,2.84,18.5,1.82
3.7,21.4,1.1,14.7,1.46
3.0,17.0,2.04,11.8,4.24
7.7,32.8,2.62,11.3,4.64
2.3,25.4,1.62,16.6,4.52
4.8,38.6,1.82,18.2,2.52
9.5,12.5,1.92,19.6,2.88
9.9,25.4,1.6,18.4,4.72
3.1,7.1,2.22,16.4,2.64
5.4,3.7,2.1,12.5,2.84
7.8,32.3,1.2,10.9,1.42
5.7,20.3,1.5,19.8,3.08
9.8,17.1,2.82,17.6,2.68
0.2,22.2,1.52,16.9,2.2
7.9,21.6,2.64,14.2,4.14
6.8,24.4,2.12,16.9,2.36
8.4,33.5,1.52,19.8,4.74
0.9,19.0,2.16,17.9,1.1
8.2,29.7,2.22,17.1,2.68
2.4,31.9,1.38,15.8,3.26
6.7,18.1,1.04,10.2,3.76
6.0,33.3,1.3,10.4,1.46
2.8,38.2,1.86,18.4,2.56
1.8,20.4,2.84,19.4,3.18
4.2,36.0,2.56,17.7,3.06
6.5,19.8,1.58,20.0,2.0
7.3,33.1,1.78,18.2,1.36
6.0,16.4,2.28,13.6,4.54
4.2,24.1,1.56,18.3,3.6
2.4,38.7,1.58,15.1,3.6
1.9,12.9,1.62,16.5,3.54
4.7,22.6,1.18,16.2,2.82
8.2,12.1,2.8,10.6,1.6
8.6,4.3,2.0,19.6,3.1
2.3,19.5,1.14,15.2,3.46
1.0,35.7,2.0,10.5,3.24
9.7,20.3,1.7,10.6,4.48
5.4,31.7,2.08,14.3,3.7
2.7,25.6,1.68,11.7,1.32
6.8,1.6,1.7,15.3,2.96
6.2,27.1,2.1,12.8,2.98
5.8,0.8,1.7,18.2,3.06
0.4,24.8,2.76,12.4,1.88
5.0,20.0,2.66,16.2,2.92
2.0,5.8,2.2,16.7,2.18
1.1,37.4,2.22,11.2,3.26
4.9,39.2,2.6,13.1,1.4
0.3,13.9,2.72,12.6,4.94
4.1,11.8,1.48,15.0,3.22
8.3,4.0,2.26,13.3,3.96
3.7,39.8,2.18,12.7,3.48
2.4,32.1,2.12,17.2,4.7
1.3,33.0,2.88,17.1,4.64
7.4,26.6,2.38,18.4,1.54
3.1,0.7,2.96,12.9,2.6
1.0,18.2,2.02,19.2,2.62
6.0,13.3,2.1,10.8,1.9
1.7,18.0,2.24,11.2,1.86
2.6,35.4,2.34,18.1,2.76
5.4,7.1,1.38,16.3,4.04
5.3,11.2,2.06,13.7,4.96
8.1,10.6,1.0,12.1,4.52
8.6,28.9,2.78,13.0,3.34
7.4,31.2,2.94,19.8,4.46
2.0,11.6,1.18,14.1,3.38
4.3,11.9,1.44,16.1,2.24
0.4,14.6,2.0,16.3,2.52
8.6,32.6,1.46,17.3,2.74
4.0,20.9,1.24,10.8,3.78
5.8,29.5,1.56,19.4,2.54
8.8,39.7,2.14,14.3,4.68
5.3,10.2,2.8,16.2,5.0
7.3,12.3,2.88,13.9,2.26
2.1,24.4,1.84,18.7,4.16
8.2,37.8,1.18,14.0,1.06
6.4,35.5,1.6,17.1,4.62
6.3,20.8,2.46,14.9,2.64
7.0,39.2,2.74,11.9,4.84
0.3,31.3,2.92,18.0,1.1
6.4,10.8,1.26,19.1,4.84
1.4,37.6,2.96,16.9,2.8
7.5,34.7,1.66,14.1,1.42
2.1,4.9,1.32,13.2,3.88
8.5,10.4,1.4,19.1,4.72
4.6,37.2,2.9,16.2,1.56
8.0,2.6,2.32,15.6,4.88
9.2,28.7,2.14,16.4,3.88
4.5,25.6,2.56,15.1,1.02
1.3,27.2,1.14,19.8,1.62
4.9,13.6,2.9,18.7,3.98
1.9,33.9,1.74,10.5,3.04
4.9,30.0,1.5,10.6,4.7
3.2,32.1,2.26,10.8,4.6
5.8,3.1,1.58,20.0,4.48
4.2,4.4,1.16,16.0,3.62
7.8,26.4,1.62,17.9,4.3
1.1,2.9,1.2,13.3,3.32
3.9,8.3,2.7,13.4,3.8
1.9,16.5,1.66,19.8,2.2
9.3,31.5,1.34,11.9,2.26
3.7,0.0,1.36,15.7,2.52
0.2,24.8,2.06,18.6,1.64
2.7,26.0,2.62,15.9,2.94
5.5,6.2,1.72,15.3,4.3
8.9,16.3,2.62,13.4,3.5
9.3,32.0,1.22,14.6,4.12
1.2,33.3,1.06,14.5,2.2
7.6,20.0,1.84,18.6,1.62
6.5,22.1,1.52,10.3,3.76
3.6,15.1,2.0,10.9,1.34
4.8,13.1,1.08,17.4,1.88
6.5,11.3,1.1,13.9,1.4
3.5,21.6,2.52,15.4,1.22
5.3,19.5,2.72,17.2,3.04
2.5,28.0,2.1,13.9,1.38
7.4,20.1,2.76,17.5,1.12
7.1,13.4,2.34,18.0,2.8
3.9,23.3,2.9,19.5,4.96
4.2,14.0,1.86,12.2,3.58
2.1,19.5,1.28,11.4,1.84
1.9,4.2,2.78,19.1,2.92
0.7,5.6,1.82,20.1,1.4
2.8,14.1,1.2,10.4,1.56
3.9,20.9,2.44,13.9,1.62
8.9,7.1,1.2,11.7,4.44
2.9,22.3,2.3,12.0,2.5
8.0,2.6,1.52,17.8,3.04
8.3,12.7,2.14,10.2,3.24
5.4,10.5,2.78,14.5,4.72
1.5,16.4,2.42,18.9,3.06
4.5,21.4,1.4,17.8,3.6
6.1,7.0,1.4,15.2,1.76
0.6,20.3,2.42,11.9,2.0
7.9,15.2,1.0,15.8,3.3
4.4,6.6,2.14,12.0,1.14
5.8,8.9,1.24,18.9,3.18
5.5,25.9,2.44,18.6,1.9
4.7,36.1,2.82,15.0,4.86
2.6,22.7,1.1,12.4,1.1
5.2,7.8,2.72,16.7,3.22
8.6,9.5,2.98,10.9,2.14
8.7,34.8,2.14,18.5,4.36
7.2,32.9,1.32,16.6,3.42
3.4,38.1,2.44,18.2,3.28
5.0,24.5,1.22,19.4,2.06
8.3,27.1,2.7,10.8,2.5
3.6,15.6,2.02,12.8,4.36
8.0,11.5,2.5,13.6,1.94
9.4,1.7,2.38,17.0,2.38
5.6,17.1,2.44,13.7,4.08
0.7,1.5,2.02,18.7,1.92
7.8,23.9,1.72,17.1,3.32
9.4,38.5,1.04,19.7,1.44
9.3,5.5,2.94,15.8,3.82
1.9,7.8,1.14,15.6,2.2
5.2,10.2,1.18,18.9,4.88
1.1,28.3,1.92,15.9,3.5
4.8,19.2,1.8,12.7,2.5
1.6,0.4,2.26,12.7,4.04
6.3,10.5,1.82,14.5,2.28
4.1,27.7,1.84,17.0,2.9
9.3,37.2,1.16,16.6,4.02
2.8,9.9,1.26,18.5,4.6
1.8,23.7,3.0,15.4,3.1
1.0,26.8,2.8,13.7,5.0
9.7,32.0,2.9,11.7,4.54
4.9,39.9,1.06,17.5,3.56
7.0,8.5,1.02,19.4,1.76
5.7,31.9,2.92,16.2,1.86
3.3,3.1,2.68,10.4,3.08
1.9,33.5,1.0,14.3,2.86
4.9,5.0,2.48,12.8,3.64
8.7,7.8,2.28,19.9,3.44
0.9,18.5,1.9,11.3,4.9
3.1,17.3,2.16,15.7,3.46
5.1,10.5,2.48,14.3,3.16
1.4,6.2,1.12,11.7,2.42
10.0,7.5,2.3,10.6,2.28
8.3,31.5,1.28,18.6,2.56
0.2,32.0,2.42,19.6,2.74
3.6,37.2,1.92,16.1,3.84
3.9,8.0,2.78,14.4,4.54
7.1,36.0,1.78,11.5,1.1
3.9,12.7,1.82,16.3,2.3
5.5,18.2,2.0,13.6,2.36
2.2,24.2,1.68,12.4,3.28
1.0,18.4,1.8,10.8,4.32
6.3,21.9,2.68,15.4,3.08
